permit_number,s_name,s_address,city,z_code,p_fee,c_number,pa_license_no,contractor_name,permit_specifications,square_feet,is_the_building_occupied,i_date,e_date,achd_inspector,job_complete,is_permit_date_extended,permit_o_e_date,project_type,latitude,longitude
PAA170318,5334/5336 PENN AVENUE,5534  PENN AVE,PITTSBURGH,15206,850,M. O. 69673455236,,,ABATE 9X9 FLOOR TILE & MASTIC ON 1ST & 2ND FLOORS IN 5534. ABATE CORRUGATED PIPE WRAP & 9X9 TILE & MASTIC IN BASEMENT OF 5536.,16960,f,2017-06-07,2017-07-07,2,t,f,2017-07-07,RENOVATION,40.4636771407016,-79.9313391935969
PAA170319,ONE PNC PLAZA,225  5TH AVE,PITTSBURGH,15222,850,4340,,,"REMOVAL OF FIREPROOFING ON THE 11TH, 22ND, 23RD, & 24TH FLOORS",527000,t,2017-06-26,2017-12-31,2,t,f,2017-12-31,RENOVATION,40.4411950201614,-80.0011049865767
PAA170320,915 LINCOLN AVENUE,915  LINCOLN AVE,SPRINGDALE BORO,15144,450,6930,,,"REMOVE & DISPOSE OF CEILING TILE IN FIRST FLOOR LIVING ROOM, WALL BOARDS, AND FLOOR TILE/MASTIC ADHESIVE GAMEROOM CLOSET",329,f,2017-06-14,2017-12-31,2,t,f,2017-12-31,DEMOLITION,40.541128502314,-79.7771075634505
PAA170321,1035 KEENE AVENUE,1035  KEENE ST,SPRINGDALE BORO,15144,850,6918,,,REMOVE AND DISPOSE OF SHEET FLOORING IN THE ENTRANCE AREA & PITCH ON THE ROOF,1580,f,2017-06-14,2017-12-31,2,t,f,2017-12-31,DEMOLITION,40.5416227258095,-79.7731217609964
PAA170322,325 MURTLAND AVENUE,328  MURTLAND AVE,SPRINGDALE BORO,15144,850,6914,,,DEMOLITION OF HOUSE,,f,2017-06-14,2017-12-31,2,t,f,2017-12-31,DEMOLITION,40.5419806306045,-79.7823910627931
PAA170323,UNIVERSAL STAINLESS - SCRAP BUILDING 104,600 MAYER ST,BRIDGEVILLE,15017,850,4028,,,REMOVE GALBESTOS IN SCRAP BUILDING 104,40000,f,2017-06-12,2017-07-30,2,t,f,2017-07-30,RENOVATION,40.3671077018555,-80.0983541689539
PAA170324,CLAIRTON SEWAGE TREATMENT PLANT - DIGESTER ROOF,1 N STATE ST,CLAIRTON,15025,850,31424,,,REMOVE ROOFING FROM THE LOWER ROOF ON THE DIGESTER BUILDING,1350,f,2017-06-15,2017-07-31,2,t,f,2017-07-31,RENOVATION,40.3043906191472,-79.8828530182617
PAA170325,"UPMC MUH - 3459 FIFTH AVENUE, 11TH FLOOR",,PITTSBURGH,15232,850,4342,,,REMOVE FLOOR TILE & MASTIC IN THE SOUTH WING ON THE 11TH FLOOR,12000,t,2017-06-22,2017-12-31,2,t,f,2017-12-31,RENOVATION,40.4551264334198,-79.9424815327283
PAA170326,"UOP - CATHEDRAL OF LEARNING - 4200 FIFTH AVENUE, 17TH FLOOR",,PITTSBURGH,15260,850,4140,,,"ABATE WALL MASTIC IN THE MENS/WOMENS ROOM, LINOLEUM IN SUITE 1701 WINDOW CAULKING ON THE 17TH FLOOR",1000,t,2017-06-19,2017-12-31,2,t,f,2017-12-31,RENOVATION,40.4258800444082,-80.0405130122884
PAA170327,CCAC BOYCE CAMPUS - SOUTH WING BOILER ROOM,595  BEATTY RD,MONROEVILLE,15146,200,46434,,,REMOVE TANK INSULATION & HEADER PIPE INSULATION ON THE 4TH FLOOR SOUTH WING BOILER ROOM,115,t,2017-06-20,2017-06-30,2,t,f,2017-06-30,RENOVATION,40.4535711795215,-79.7524371952016
